amfi_code,tracking_error
100016,0.14548134802183876
100025,0.039052455281001604
100033,0.18936710835214166
101206,0.1456821284745432
101207,0.25797322217077717
101208,0.0050643713523107455
102885,0.12836628397860558
102886,0.181345762973113
102887,0.15758366917913
118632,0.1414835229499666
118633,0.1399721364918615
118634,0.2524152094634045
118635,0.12983158874316303
118636,0.039855381553882616
119092,0.13950661341123846
119093,0.1398329559363886
119094,0.19407117423334738
119095,0.25066580232600433
119120,0.03967062369033872
119551,0.1374143414187964
119552,0.13939367612717493
119598,0.2514057862438468
119599,0.24950125122855862
120503,0.13884437513119793
120504,0.1436378056673665
120505,0.1929094940631819
120506,0.15230516379673079
120507,0.004939126259512018
120841,0.1346379580078445
120842,0.1789471500657187
120843,0.15886986523609253
120844,0.005133170487371137
125497,0.14668866752399518
125498,0.18352430087335772
148567,0.14193706754620344
148568,0.15429144469823303
148569,0.176740066913467
149322,0.14353859818510514
149323,0.17746159397550829
149324,0.24840205005242075
